id,asset,year,rep_period,time_block_start,time_block_end,dual_max_output_flow_with_basic_unit_commitment
1,ccgt,2030,1,1,2,0.0
2,ccgt,2030,1,3,3,0.0
3,ccgt,2030,1,4,4,0.0
4,ccgt,2030,1,5,6,0.0
5,ccgt,2030,1,7,8,-2.46375
6,ccgt,2030,1,9,9,0.0
7,ccgt,2030,1,10,10,0.0
8,ccgt,2030,1,11,12,-2.46375
9,ccgt,2030,1,13,14,-2.46375
10,ccgt,2030,1,15,15,0.0
11,ccgt,2030,1,16,16,0.0
12,ccgt,2030,1,17,18,-14.600000000000001
13,ccgt,2030,1,19,20,0.0
14,ccgt,2030,1,21,21,0.0
15,ccgt,2030,1,22,22,0.0
16,ccgt,2030,1,23,24,0.0
17,ocgt,2030,1,1,1,0.0
18,ocgt,2030,1,2,2,0.0
19,ocgt,2030,1,3,3,0.0
20,ocgt,2030,1,4,4,-2.482
21,ocgt,2030,1,5,5,0.0
22,ocgt,2030,1,6,6,-2.482
23,ocgt,2030,1,7,7,-2.482
24,ocgt,2030,1,8,8,-2.482
25,ocgt,2030,1,9,9,-2.482
26,ocgt,2030,1,10,10,-2.482
27,ocgt,2030,1,11,11,-2.482
28,ocgt,2030,1,12,12,-2.482
29,ocgt,2030,1,13,13,-2.482
30,ocgt,2030,1,14,14,-2.482
31,ocgt,2030,1,15,15,-2.482
32,ocgt,2030,1,16,16,-2.482
33,ocgt,2030,1,17,17,0.0
34,ocgt,2030,1,18,18,0.0
35,ocgt,2030,1,19,19,-2.482
36,ocgt,2030,1,20,20,-2.482
37,ocgt,2030,1,21,21,-2.482
38,ocgt,2030,1,22,22,0.0
39,ocgt,2030,1,23,23,-2.482
40,ocgt,2030,1,24,24,-7.300000000000001
41,smr,2030,1,1,1,0.0
42,smr,2030,1,2,2,0.0
43,smr,2030,1,3,3,0.0
44,smr,2030,1,4,4,0.0
45,smr,2030,1,5,5,0.0
46,smr,2030,1,6,6,0.0
47,smr,2030,1,7,7,0.0
48,smr,2030,1,8,8,0.0
49,smr,2030,1,9,9,0.0
50,smr,2030,1,10,10,0.0
51,smr,2030,1,11,11,0.0
52,smr,2030,1,12,12,0.0
53,smr,2030,1,13,13,0.0
54,smr,2030,1,14,14,0.0
55,smr,2030,1,15,15,0.0
56,smr,2030,1,16,16,0.0
57,smr,2030,1,17,17,-21.900000000000002
58,smr,2030,1,18,18,-21.900000000000002
59,smr,2030,1,19,19,0.0
60,smr,2030,1,20,20,0.0
61,smr,2030,1,21,21,0.0
62,smr,2030,1,22,22,0.0
63,smr,2030,1,23,23,0.0
64,smr,2030,1,24,24,0.0
