id,asset,year,rep_period,time_block_start,time_block_end,unit_commitment_integer,solution
1,ccgt,2030,1,1,3,true,2.0
2,ccgt,2030,1,4,6,true,2.0
3,ccgt,2030,1,7,9,true,-2.831057962100722e-13
4,ccgt,2030,1,10,12,true,-2.831057962100722e-13
5,ccgt,2030,1,13,15,true,0.0
6,ccgt,2030,1,16,18,true,0.0
7,ccgt,2030,1,19,21,true,1.0
8,ccgt,2030,1,22,24,true,2.0
9,ocgt,2030,1,1,1,true,1.0000000000000135
10,ocgt,2030,1,2,2,true,1.0
11,ocgt,2030,1,3,3,true,1.0
12,ocgt,2030,1,4,4,true,0.0
13,ocgt,2030,1,5,5,true,1.0
14,ocgt,2030,1,6,6,true,0.0
15,ocgt,2030,1,7,7,true,0.0
16,ocgt,2030,1,8,8,true,0.0
17,ocgt,2030,1,9,9,true,-0.0
18,ocgt,2030,1,10,10,true,0.0
19,ocgt,2030,1,11,11,true,0.0
20,ocgt,2030,1,12,12,true,0.0
21,ocgt,2030,1,13,13,true,0.0
22,ocgt,2030,1,14,14,true,0.0
23,ocgt,2030,1,15,15,true,0.0
24,ocgt,2030,1,16,16,true,0.0
25,ocgt,2030,1,17,17,true,1.0
26,ocgt,2030,1,18,18,true,1.0
27,ocgt,2030,1,19,19,true,0.0
28,ocgt,2030,1,20,20,true,0.0
29,ocgt,2030,1,21,21,true,0.0
30,ocgt,2030,1,22,22,true,1.000000000000007
31,ocgt,2030,1,23,23,true,0.0
32,ocgt,2030,1,24,24,true,2.2737367544323206e-15
33,smr,2030,1,1,6,true,1.0
34,smr,2030,1,7,12,true,1.0
35,smr,2030,1,13,18,true,-0.0
36,smr,2030,1,19,24,true,1.0
