id,asset,milestone_year,investment_integer,capacity,investment_limit,solution
1,NL_Wind_Onshore,2050,true,49.0,,501.0
2,NL_Wind_Offshore,2050,true,49.0,,0.0
3,NL_Coal,2050,true,824.0,,5.0
4,NL_Nuclear,2050,true,2095.0,,0.0
5,NL_CCGT,2050,true,357.0,,6.0
6,NL_OCGT,2050,true,357.0,,5.0
7,NL_Battery,2050,false,100.0,,0.004077420508963092
8,BE_Solar,2050,true,18.0,,441.0
9,BE_Wind_Onshore,2050,true,49.0,,388.0
10,BE_Coal,2050,true,824.0,,3.0
11,BE_Nuclear,2050,true,2095.0,,0.0
12,BE_CCGT,2050,true,357.0,,2.0
13,BE_OCGT,2050,true,357.0,,5.0
14,BE_Battery,2050,false,100.0,,0.0
15,DE_Solar,2050,true,18.0,,1798.0
16,DE_Wind_Offshore,2050,true,49.0,,0.0
17,DE_Coal,2050,true,824.0,,25.0
18,DE_Nuclear,2050,true,2095.0,,0.0
19,DE_CCGT,2050,true,357.0,,31.0
20,DE_OCGT,2050,true,357.0,,15.0
21,DE_Battery,2050,false,100.0,,0.0323025548397527
22,FR_Solar,2050,true,18.0,,1446.0
23,FR_Wind_Onshore,2050,true,49.0,,2297.0
24,FR_Wind_Offshore,2050,true,49.0,,0.0
25,FR_Coal,2050,true,824.0,,8.0
26,FR_CCGT,2050,true,357.0,,24.0
27,FR_OCGT,2050,true,357.0,,7.0
28,FR_Battery,2050,false,100.0,,0.0
29,LU_Solar,2050,true,18.0,,33.0
30,LU_Wind_Onshore,2050,true,49.0,,39.0
31,LU_Wind_Offshore,2050,true,49.0,,-0.0
32,LU_Coal,2050,true,824.0,,0.0
33,LU_Nuclear,2050,true,2095.0,,0.0
34,LU_CCGT,2050,true,357.0,,1.0
35,LU_OCGT,2050,true,357.0,,0.0
36,LU_Battery,2050,false,100.0,,0.12060551361000194
37,CH_Solar,2050,true,18.0,,416.0
38,CH_Wind_Onshore,2050,true,49.0,,230.0
39,CH_Wind_Offshore,2050,true,49.0,,-0.0
40,CH_Coal,2050,true,824.0,,5.0
41,CH_Nuclear,2050,true,2095.0,,-0.0
42,CH_OCGT,2050,true,357.0,,5.0
43,CH_Battery,2050,false,100.0,,0.001555365143549352
44,UK_Solar,2050,true,18.0,,23.0
45,UK_Coal,2050,true,824.0,,0.0
46,UK_Nuclear,2050,true,2095.0,,0.0
47,UK_CCGT,2050,true,357.0,,24.0
48,UK_OCGT,2050,true,357.0,,14.0
49,UK_Battery,2050,false,100.0,,0.01766155725474164
50,DK_Solar,2050,true,18.0,,177.0
51,DK_Wind_Offshore,2050,true,49.0,,0.0
52,DK_Coal,2050,true,824.0,,1.0
53,DK_Nuclear,2050,true,2095.0,,0.0
54,DK_OCGT,2050,true,357.0,,1.0
55,DK_Battery,2050,false,100.0,,0.0009859270621710575
56,NO_Solar,2050,true,18.0,,0.0
57,NO_Wind_Onshore,2050,true,49.0,,733.0
58,NO_Wind_Offshore,2050,true,49.0,,0.0
59,NO_Nuclear,2050,true,2095.0,,0.0
60,NO_CCGT,2050,true,357.0,,8.0
61,NO_OCGT,2050,true,357.0,,3.0
62,NO_Battery,2050,false,100.0,,0.018465987128583945
63,IE_Solar,2050,true,18.0,,0.0
64,IE_Wind_Onshore,2050,true,49.0,,166.0
65,IE_Wind_Offshore,2050,true,49.0,,0.0
66,IE_Coal,2050,true,824.0,,0.0
67,IE_Nuclear,2050,true,2095.0,,0.0
68,IE_CCGT,2050,true,357.0,,2.0
69,IE_OCGT,2050,true,357.0,,2.0
70,SE_Wind_Onshore,2050,true,49.0,,675.0
71,SE_Coal,2050,true,824.0,,4.0
72,SE_Nuclear,2050,true,2095.0,,0.0
73,SE_CCGT,2050,true,357.0,,12.0
74,SE_OCGT,2050,true,357.0,,4.0
75,SE_Battery,2050,false,100.0,,0.0007948671767735504
76,AT_Solar,2050,true,18.0,,318.0
77,AT_Wind_Onshore,2050,true,49.0,,371.0
78,AT_Wind_Offshore,2050,true,49.0,,-0.0
79,AT_Coal,2050,true,824.0,,3.0
80,AT_Nuclear,2050,true,2095.0,,-0.0
81,AT_CCGT,2050,true,357.0,,4.0
82,AT_OCGT,2050,true,357.0,,9.0
83,AT_Battery,2050,false,100.0,,0.0
84,CZ_Wind_Onshore,2050,true,49.0,,292.0
85,CZ_Wind_Offshore,2050,true,49.0,,-0.0
86,CZ_Coal,2050,true,824.0,,3.0
87,CZ_Nuclear,2050,true,2095.0,,-0.0
88,CZ_CCGT,2050,true,357.0,,3.0
89,CZ_OCGT,2050,true,357.0,,2.0
90,CZ_Battery,2050,false,100.0,,0.01856046946929809
91,PL_Solar,2050,true,18.0,,395.0
92,PL_Wind_Onshore,2050,true,49.0,,720.0
93,PL_Wind_Offshore,2050,true,49.0,,0.0
94,PL_Coal,2050,true,824.0,,7.0
95,PL_OCGT,2050,true,357.0,,1.0
96,PL_Battery,2050,false,100.0,,0.0
97,ES_Solar,2050,true,18.0,,1281.0
98,ES_Wind_Offshore,2050,true,49.0,,0.0
99,ES_Coal,2050,true,824.0,,12.0
100,ES_Nuclear,2050,true,2095.0,,0.0
101,ES_CCGT,2050,true,357.0,,11.0
102,ES_OCGT,2050,true,357.0,,18.0
103,IT_Solar,2050,true,18.0,,3085.0
104,IT_Wind_Offshore,2050,true,49.0,,0.0
105,IT_Coal,2050,true,824.0,,30.0
106,IT_Nuclear,2050,true,2095.0,,0.0
107,IT_CCGT,2050,true,357.0,,14.0
108,IT_OCGT,2050,true,357.0,,27.0
109,IT_Battery,2050,false,100.0,,0.1834919784573023
110,LT_Wind_Onshore,2050,true,49.0,,35.0
111,LT_Wind_Offshore,2050,true,49.0,,-0.0
112,LT_Coal,2050,true,824.0,,0.0
113,LT_Nuclear,2050,true,2095.0,,0.0
114,LT_CCGT,2050,true,357.0,,2.0
115,LT_OCGT,2050,true,357.0,,1.0
116,LT_Battery,2050,false,100.0,,0.0
117,FI_Solar,2050,true,18.0,,250.0
118,FI_Wind_Onshore,2050,true,49.0,,498.0
119,FI_Wind_Offshore,2050,true,49.0,,0.0
120,FI_Coal,2050,true,824.0,,4.0
121,FI_Nuclear,2050,true,2095.0,,0.0
122,FI_OCGT,2050,true,357.0,,3.0
123,FI_Battery,2050,false,100.0,,0.0
124,SI_Solar,2050,true,18.0,,47.0
125,SI_Wind_Onshore,2050,true,49.0,,45.0
126,SI_Wind_Offshore,2050,true,49.0,,0.0
127,SI_Coal,2050,true,824.0,,1.0
128,SI_Nuclear,2050,true,2095.0,,0.0
129,SI_OCGT,2050,true,357.0,,1.0
130,SI_Battery,2050,false,100.0,,0.6654493323630163
131,HU_Solar,2050,true,18.0,,338.0
132,HU_Wind_Onshore,2050,true,49.0,,264.0
133,HU_Wind_Offshore,2050,true,49.0,,-0.0
134,HU_Coal,2050,true,824.0,,3.0
135,HU_OCGT,2050,true,357.0,,6.0
136,HU_Battery,2050,false,100.0,,0.7639712683679197
137,SK_Wind_Onshore,2050,true,49.0,,39.0
138,SK_Wind_Offshore,2050,true,49.0,,-0.0
139,SK_Coal,2050,true,824.0,,0.0
140,SK_Nuclear,2050,true,2095.0,,0.0
141,SK_CCGT,2050,true,357.0,,0.0
142,SK_OCGT,2050,true,357.0,,1.0
143,SK_Battery,2050,false,100.0,,0.21487684568612223
144,PT_Solar,2050,true,18.0,,364.0
145,PT_Wind_Onshore,2050,true,49.0,,277.0
146,PT_Wind_Offshore,2050,true,49.0,,0.0
147,PT_Coal,2050,true,824.0,,3.0
148,PT_Nuclear,2050,true,2095.0,,0.0
149,PT_CCGT,2050,true,357.0,,1.0
150,PT_OCGT,2050,true,357.0,,3.0
151,HR_Solar,2050,true,18.0,,66.0
152,HR_Wind_Onshore,2050,true,49.0,,43.0
153,HR_Coal,2050,true,824.0,,1.0
154,HR_CCGT,2050,true,357.0,,1.0
155,HR_OCGT,2050,true,357.0,,1.0
156,RO_Wind_Onshore,2050,true,49.0,,235.0
157,RO_Wind_Offshore,2050,true,49.0,,0.0
158,RO_Coal,2050,true,824.0,,2.0
159,RO_Nuclear,2050,true,2095.0,,0.0
160,RO_CCGT,2050,true,357.0,,3.0
161,RO_OCGT,2050,true,357.0,,3.0
162,RO_Battery,2050,false,100.0,,0.0028466812743181435
163,GR_Solar,2050,true,18.0,,227.0
164,GR_Coal,2050,true,824.0,,3.0
165,GR_Battery,2050,false,100.0,,0.9474864871963642
166,LV_Solar,2050,true,18.0,,9.0
167,LV_Wind_Onshore,2050,true,49.0,,22.0
168,LV_Wind_Offshore,2050,true,49.0,,0.0
169,LV_Nuclear,2050,true,2095.0,,0.0
170,LV_CCGT,2050,true,357.0,,1.0
171,LV_OCGT,2050,true,357.0,,1.0
172,LV_Battery,2050,false,100.0,,0.07655472234810587
173,EE_Solar,2050,true,18.0,,1.0
174,EE_Wind_Onshore,2050,true,49.0,,38.0
175,EE_Coal,2050,true,824.0,,0.0
176,EE_Nuclear,2050,true,2095.0,,0.0
177,EE_CCGT,2050,true,357.0,,1.0
178,EE_OCGT,2050,true,357.0,,0.0
179,EE_Battery,2050,false,100.0,,0.5181534650284716
180,MT_Wind_Onshore,2050,true,49.0,,-0.0
181,MT_Wind_Offshore,2050,true,49.0,,-0.0
182,MT_CCGT,2050,true,357.0,,1.0
183,MT_OCGT,2050,true,357.0,,0.0
184,MT_Battery,2050,false,100.0,,0.30053905161130384
185,CY_Solar,2050,true,18.0,,71.0
186,CY_Wind_Onshore,2050,true,49.0,,-0.0
187,CY_Coal,2050,true,824.0,,1.0
188,CY_Nuclear,2050,true,2095.0,,-0.0
189,CY_CCGT,2050,true,357.0,,0.0
190,CY_Battery,2050,false,100.0,,0.5962957213232551
191,BG_Solar,2050,true,18.0,,161.0
192,BG_Wind_Offshore,2050,true,49.0,,-0.0
193,BG_Nuclear,2050,true,2095.0,,-0.0
194,BG_OCGT,2050,true,357.0,,3.0
195,BG_Battery,2050,false,100.0,,0.5247439167658471
196,DE_Wind_Onshore,2050,true,49.0,,2210.0
197,DK_Wind_Onshore,2050,true,49.0,,236.0
198,NO_Coal,2050,true,824.0,,0.0
199,SE_Solar,2050,true,18.0,,519.0
200,SE_Wind_Offshore,2050,true,49.0,,0.0
201,IT_Wind_Onshore,2050,true,49.0,,767.0
202,SI_CCGT,2050,true,357.0,,0.0
203,HR_Nuclear,2050,true,2095.0,,0.0
204,GR_Wind_Offshore,2050,true,49.0,,0.0
205,GR_Nuclear,2050,true,2095.0,,0.0
206,LV_Coal,2050,true,824.0,,0.0
207,EE_Wind_Offshore,2050,true,49.0,,0.0
208,MT_Coal,2050,true,824.0,,0.0
209,CY_Wind_Offshore,2050,true,49.0,,-0.0
210,BG_CCGT,2050,true,357.0,,0.0
211,PL_CCGT,2050,true,357.0,,9.0
212,GR_OCGT,2050,true,357.0,,2.0
213,BE_Wind_Offshore,2050,true,49.0,,0.0
214,FR_Nuclear,2050,true,2095.0,,0.0
215,DK_CCGT,2050,true,357.0,,3.0
216,IE_Battery,2050,false,100.0,,0.0
217,CZ_Solar,2050,true,18.0,,213.0
218,PL_Nuclear,2050,true,2095.0,,0.0
219,ES_Wind_Onshore,2050,true,49.0,,1326.0
220,ES_Battery,2050,false,100.0,,0.1636464482156043
221,LT_Solar,2050,true,18.0,,26.0
222,FI_CCGT,2050,true,357.0,,9.0
223,HU_CCGT,2050,true,357.0,,3.0
224,SK_Solar,2050,true,18.0,,32.0
225,PT_Battery,2050,false,100.0,,0.2370383970500063
226,HR_Wind_Offshore,2050,true,49.0,,0.0
227,HR_Battery,2050,false,100.0,,0.0
228,RO_Solar,2050,true,18.0,,310.0
229,GR_Wind_Onshore,2050,true,49.0,,189.0
230,GR_CCGT,2050,true,357.0,,1.0
231,MT_Solar,2050,true,18.0,,40.0
232,MT_Nuclear,2050,true,2095.0,,0.0
233,UK_Wind_Onshore,2050,true,49.0,,1517.0
234,BG_Coal,2050,true,824.0,,2.0
235,NL_Solar,2050,true,18.0,,487.0
236,CH_CCGT,2050,true,357.0,,3.0
237,HU_Nuclear,2050,true,2095.0,,-0.0
238,BG_Wind_Onshore,2050,true,49.0,,159.0
239,CY_OCGT,2050,true,357.0,,0.0
240,UK_Wind_Offshore,2050,true,49.0,,0.0
